2,PID,A PID controller seeks to keep some input variable close to a desired setpoint by adjusting an output. The way in which it does this can be 'tuned' by adjusting three parameters (P,I,D).
3,PID-AutoTune,A proportional-integral-derivative controller is a control loop feedback mechanism (controller) widely used in industrial control systems
4,IRremote,Send and receive infrared signals with multiple protocols
5,Webduino,An extensible web server library (for use with the Arduino WizNet Ethernet Shield)
6,XBee,XBees in API mode, with support for both Series 1 (802.15.4) and Series 2 (ZB Pro/ZNet)
7,U8glib,A library for monochrome TFTs and OLEDs
10,I2Cdevlib-AK8975,AK8975 is 3-axis electronic compass IC with high sensitive Hall sensor technology
11,I2Cdevlib-Core,The I2C Device Library (I2Cdevlib) is a collection of uniform and well-documented classes to provide simple and intuitive interfaces to I2C devices.
12,Adafruit ST7735 Library,A library for the Adafruit 1.8" SPI display
13,Adafruit GFX Library,Adafruit GFX graphics core library, this is the 'core' class that all our other graphics libraries derive from.
14,Adafruit 9DOF Library,Unified sensor driver for the Adafruit 9DOF Breakout (L3GD20 / LSM303)
15,Adafruit ADXL345,Unified driver for the ADXL345 Accelerometer
16,Adafruit BMP085 Unified,Unified sensor driver for Adafruit's BMP085 & BMP180 breakouts (Barometric Pressure Sensor)
17,Adafruit CC3000 Library,Library code for Adafruit's CC3000 WiFi breakouts.
18,Adafruit DHT Unified,Unified sensor library for DHT (DHT11, DHT22 and etc) temperature and humidity sensors
19,DHT sensor library,Arduino library for DHT11, DHT22, etc Temp & Humidity Sensors
20,Adafruit GPS Library,An interrupt-based GPS library for no-parsing-required use
21,HT1632,Arduino library code for HT1632(C) matrix panel driver chips, and the panels we have in the Adafruit shop
22,Adafruit HX8357 Library,A library for the Adafruit HX8357 SPI display
23,Adafruit L3GD20 U,Unified sensor driver for the L3GD20 Gyroscope
24,Adafruit L3GD20,Driver for Adafruit's L3GD20 I2C Gyroscope Breakout
25,Adafruit LED Backpack Library,Adafruit LED Backpack Library for our 8x8 matrix and 7-segment LED backpacks
26,Adafruit LSM303DLHC,Unified sensor driver for Adafruit's LSM303 Breakout (Accelerometer + Magnetometer)
27,Adafruit Motor Shield library,Adafruit Motor shield V1 firmware with basic Microstepping support. Works with all Arduinos and the Mega
28,Adafruit NeoPixel,Arduino library for controlling single-wire-based LED pixels and strip.
29,Adafruit PN532,Arduino library for SPI and I2C access to the PN532 RFID/Near Field Communication chip
30,Adafruit PWM Servo Driver Library,Adafruit PWM Servo Driver Library
31,Adafruit Unified Sensor,Required for all Adafruit Unified Sensor based libraries.
32,Adafruit-TFT-LCD,Arduino library for 8-bit TFT LCDs such as ILI9325, ILI9328, etc
33,Adafruit TMP006,This is a library for the Adafruit TMP006 Infrared Thermopile Sensor
34,Adafruit TSL2561,Unified light sensor driver for Adafruit's TSL2561 breakouts
35,aJson,An Arduino library to enable JSON processing with Arduino
36,X10,Sending X10 signals over AC power lines (PL513, TW523 and etc)
37,Nextion,Provides an easy-to-use way to manipulate Nextion serial display
38,Low-Power,Lightweight power management library
42,nRF24,The nRF24L01 is a low-cost 2.4GHz ISM transceiver module. It supports a number of channel frequencies in the 2.4GHz band and a range of data rates
48,Plotly-CC3000,Arduino library for real-time logging and streaming data to online plotly graphs (TI CC3000 Wi-Fi)
49,Plotly-WiFi,Arduino library for real-time logging and streaming data to online plotly graphs
50,Plotly-Ethernet,Arduino library for real-time logging and streaming data to online plotly graphs
51,Plotly-GSM,Arduino library for real-time logging and streaming data to online plotly graphs
53,AAP,An Arduino library for controlling iPods (and some features for the iPod app on iPhones and iPod Touches) via the Apple Accessory Protocol (AAP)
54,DallasTemperature,Arduino Library for Dallas Temperature ICs (DS18B20, DS18S20, DS1822, DS1820)
59,USB-Host-Shield-20,Revision 2.0 of MAX3421E-based USB Host Shield Library
60,RedBot,The RedBot is a motor driver and Arduino combination with various headers and connections, eliminating the need to stack multiple shields
61,SparkFun-CC3000,Arduino library for the TI CC3000 WiFi Shield and SparkFun Breakout Board
62,MIDI Library,This library enables MIDI I/O communications on the Arduino serial ports
63,MFRC522,Read a card using a MFRC522 reader on your SPI interface
64,ArduinoJson,An elegant and efficient JSON library for embedded systems
65,WiFlyHQ,The library provides functions for setting up and managing the WiFly module (Roving Networks WiFly RN-XV), sending UDP packets, opening TCP connections and sending and receiving data over the TCP connection
66,HttpClient,Library to easily make HTTP GET, POST and PUT requests to a web server.
67,Xively,A library for Arduino to make it easier to talk to Xively
74,Mozzi,A sound synthesis library
75,Timer,Timer Library
76,Timezone,Arduino library to facilitate time zone conversions and automatic daylight saving (summer) time adjustments
77,Button,Arduino library to debounce button switches, detect presses, releases, and long presses
78,DS3232RTC,Arduino Library for Maxim Integrated DS3232 and DS3231 Real-Time Clocks
80,Adafruit WS2801 Library,Arduino library for controlling strips/pixels using WS2801 driver chips
81,Adafruit PCD8544 Nokia 5110 LCD library,Arduino driver for PC8544, most commonly found in small Nokia 5110's
82,DmxMaster,Send and receive DMX signals
83,RTClib,A fork of Jeelab's fantastic RTC library
84,Adafruit MAX31855 library,Library for the Adafruit Thermocouple breakout with MAX31855K
85,Adafruit Thermal Printer Library,Arduino Library for Small Thermal Printers
86,SHT1x,Provides a simple interface to the SHT1x series (SHT10, SHT11, SHT15) and SHT7x series (SHT71, SHT75) temperature / humidity sensors from Sensirion
89,PubSubClient,A client library for MQTT messaging. MQTT is a lightweight messaging protocol ideal for small devices. This library allows you to send and receive MQTT messages. It supports the latest MQTT 3.1.1 protocol and can be configured to use the older MQTT 3.1...
90,LPD8806,Arduino library for LED strips and pixels using LPD8806 (and probably LPD8803/LPD8809)
91,UIPEthernet,Ethernet library for ENC28J60
92,RFM69,RFM69 library for RFM69W, RFM69HW, RFM69CW, RFM69HCW (semtech SX1231, SX1231H)
93,RFM12B,RFM12B Universal ISM Band FSK Transceiver (433, 868 and 915 MHz bands)
94,I2Cdevlib-AD7746,The AD7745/AD7746 are 24-Bit Capacitance-to-Digital Converter with Temperature Sensor
95,I2Cdevlib-ADS1115,ADS1115 is 16-Bit ADC with Integrated MUX, PGA, Comparator, Oscillator, and Reference
96,I2Cdevlib-ADXL345,The ADXL345 is a small, thin, ultralow power, 3-axis accelerometer with high resolution (13-bit) measurement
97,I2Cdevlib-BMA150,The BMA150 is a triaxial, low-g acceleration sensor IC with digital output for consumer market applications
98,I2Cdevlib-BMP085,The BMP085 is barometric pressure, temperature and altitude sensor
99,I2Cdevlib-DS1307,The DS1307 serial real-time clock (RTC) is a low-power, full binary-coded decimal (BCD) clock/calendar plus 56 bytes of NV SRAM
100,I2Cdevlib-HMC5843,The HMC5843 is 3-Axis digital compass/magnetometer
101,I2Cdevlib-HMC5883L,The HMC5883L is 3-Axis digital compass/magnetometer
102,I2Cdevlib-IAQ2000,The iAQ-2000 Indoor Air Quality Module is a sensitive, low-cost solution for detecting poor air quality
103,I2Cdevlib-ITG3200,The ITG-3200 is groundbreaking 3-axis, digital output MEMS gyroscope
104,I2Cdevlib-L3G4200D,The L3G4200D is a low-power three-axis angular rate sensor able to provide unprecedented stablility of zero rate level and sensitivity over temperature and time
105,I2Cdevlib-LM73,The LM73 is an integrated, digital-output temperature sensor featuring an incremental Delta-Sigma ADC
106,I2Cdevlib-MPR121,The MPR121 is a 12-bit proximity capacitive touch sensor
107,I2Cdevlib-MPU6050,The MPU6050 combines a 3-axis gyroscope and a 3-axis accelerometer on the same silicon die together with an onboard Digital Motion Processor(DMP) which processes complex 6-axis MotionFusion algorithms
108,I2Cdevlib-SSD1308,SSD1308 is a single-chip CMOS OLED/PLED driver with controller for organic / polymer light emitting diode dot-matrix graphic display system
109,I2Cdevlib-TCA6424A,The TCA6424A is a low-voltage 24-Bit I2C and SMBus I/O expander with interrupt output, reset and configuration registers
113,I2Cdevlib-MPU9150,The MPU-9150 combines two chips: the MPU-6050, which contains a 3-axis gyroscope, 3-axis accelerometer and the AK8975, a 3-axis digital compass
114,OBD,The library for Arduino OBD-II/OBD2 Adapter
